Area,Oxygen,Temperature,Humidity,Wind Speed,Vegetation Density,Proximity to Water,Soil Type,Fire Occurrence
Europe,33.12037283878051,26.61278458887232,56.56266246674429,11.275452810360783,45.465840854462826,Far,Sandy,0
Southeast Africa,33.57924184855363,30.282128521514075,55.97688980267009,8.32643427230355,65.20371141755268,Near,Loamy,0
Middle East,32.34770529590427,38.846919469455756,46.54338862162289,11.483102243512494,52.32348274149575,Far,Loamy,0
Russia,32.350334762560394,32.94862753461687,37.76326592017132,7.458920889539075,40.67008991833085,Far,Loamy,1
Africa,44.022804778837,30.150376318550187,59.819238793255046,13.72830746015798,62.90303537656495,Near,Loamy,1
Central America,52.296034542733565,18.19948776567917,34.97834545894219,16.47736330886609,64.44627451100627,Near,Loamy,0
South America,35.54357475585378,29.5211065516877,29.69965565475166,15.740760962658973,47.51775841746604,Far,Clayey,0
Central Africa,51.969652643621416,20.36151476475332,19.140306188477247,14.251999296650396,68.33276750961272,Far,Loamy,1
Southern California,37.334123401163545,39.09944159078208,21.797566747127227,15.284324573636116,40.10148207359654,Far,Loamy,1
India,39.88032974778967,31.26919089162567,51.08024652616996,5.824913996400422,61.34376931734242,Far,Sandy,0
Africa,48.81606256519334,37.53040653524928,36.75226420654106,11.467180966169952,74.06937143836777,Near,Sandy,0
North Asia,42.28695004754957,21.150656606523228,45.7876820456745,13.617272280692259,63.926373558301506,Near,Clayey,1
Mediterranean,32.58916756574853,21.994042090822003,30.93297190103538,11.386100559104445,64.42315965218384,Near,Clayey,0
Central Africa,49.06427722515816,34.50152998025719,37.91721117287034,15.036050279971677,61.93672524621161,Near,Sandy,0
Central Africa,47.05810516111029,19.546840222702443,35.932228868371254,7.704685383901451,50.5437255116572,Far,Sandy,0
Mediterranean,47.5255828194576,30.94644500129172,55.8587023869282,17.46980083050221,67.99806030089059,Far,Sandy,1
Australia,33.554975329799746,20.436898827989257,42.91563005788155,17.726185751041474,78.69410964654227,Far,Loamy,0
Pacific Northwest,51.723902610968935,27.3799632417604,59.98921230328431,10.598915444026273,60.59640145559564,Far,Loamy,1
Amazon Rainforest,44.2926755069376,37.03325217190195,25.72329533676667,16.127531134405082,40.779125278952876,Near,Clayey,1
Southeast United States,41.44838753258685,30.11789152436898,37.608074672870885,5.5425182157150585,69.88735260178916,Far,Sandy,1
Australia,32.14464486188852,35.86261555436907,50.478375988238945,8.98587063570412,43.11241282289346,Far,Sandy,0
Northeastern United States,47.07785582958007,27.15004805702846,36.06370782486984,15.18547925140504,61.35396967802919,Far,Loamy,0
Africa,40.87346825613946,23.984445342990753,57.69850615490519,10.430553445826503,42.81582396474327,Near,Sandy,0
Middle East,45.34073122558549,21.64180815695923,16.036394714965994,18.19657827387161,50.362447803952534,Far,Loamy,0
Northeastern United States,50.261754709787716,33.49537486249241,25.79728592198613,18.687117265803998,76.43502475335922,Far,Clayey,1
Africa,34.41644080786996,31.112185525515912,45.790979490675895,9.782858422855973,79.88759061780505,Near,Loamy,0
Mediterranean,47.449716525871786,18.70181466486393,55.25243194807363,10.304610595216452,73.71416782058392,Far,Clayey,1
North Asia,42.25196253545107,30.17782855429117,29.9079574769489,16.412624034443763,61.987698879584364,Far,Sandy,0
South America,43.87020271878286,37.39008057651512,27.015436497704627,6.660253968703383,57.43901040306717,Near,Clayey,1
Pacific Northwest,51.99080518428019,23.331372527182882,35.69462877005168,6.862644921551213,57.35057021645505,Far,Clayey,0
